1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
a	1
b	4
c	3
d	3
e	3
f	4
g	4
h	7
i	8
j	7
k	8
l	9
m	7
n	7
o	9
p	0
q	1
r	4
s	2
t	4
u	7
v	4
w	2
x	2
y	7
z	1
-	0
 	6
